Source,Target,Type,Weight
Sandoval,Cruz,Undirected,18
Simpson,Vaughn,Undirected,21
Little,Nguyen,Undirected,32
Dean,Murphy,Undirected,23
Miles,Arnold,Undirected,8
Herrera,Alvarado,Undirected,6
Wright,Campbell,Undirected,13
Shelton,Perez,Undirected,47
Bradley,Aguilar,Undirected,20
Wilson,Watts,Undirected,8
Rice,Mccarthy,Undirected,20
Gomez,Vasquez,Undirected,25
Johnson,Stewart,Undirected,22
Cole,Williams,Undirected,45
Dominguez,Williams,Undirected,6
Neal,Adams,Undirected,11
Stanley,Pearson,Undirected,9
Bryant,Flores,Undirected,6
Schneider,Jacobs,Undirected,5
Olson,Delgado,Undirected,11
Welch,Wilson,Undirected,7
Douglas,Carroll,Undirected,11
Steele,Jenkins,Undirected,28
Fields,Medina,Undirected,20
Aguilar,Chambers,Undirected,51
Carr,Park,Undirected,30
Rios,Black,Undirected,16
Ramos,Curtis,Undirected,26
Henry,Ferguson,Undirected,23
Bell,Lee,Undirected,23
Frazier,Armstrong,Undirected,91
Myers,Collins,Undirected,5
Freeman,Jennings,Undirected,35
Lewis,Arnold,Undirected,5
Garrett,Lyons,Undirected,11
Carroll,Spencer,Undirected,32
Cook,Park,Undirected,7
Meyer,Shaw,Undirected,9
Chambers,Mcdaniel,Undirected,24
Pierce,Moreno,Undirected,27
Garrett,Lynch,Undirected,6
Lewis,Guerrero,Undirected,40
Nguyen,Pierce,Undirected,112
Robertson,Hill,Undirected,15
Carr,Wheeler,Undirected,6
Nguyen,Ruiz,Undirected,8
Bradley,Walters,Undirected,27
Schneider,Armstrong,Undirected,6
Cooper,Frazier,Undirected,91
Peterson,Stone,Undirected,22
Lambert,Murphy,Undirected,36
White,Medina,Undirected,6
Barnes,Ferguson,Undirected,29
Perez,Simpson,Undirected,25
Dean,Silva,Undirected,43
Salazar,Garrett,Undirected,12
Neal,Lewis,Undirected,25
Little,Armstrong,Undirected,8
Powers,Jordan,Undirected,13
Graves,Stone,Undirected,11
Bryant,Nelson,Undirected,39
Salazar,Perkins,Undirected,34
Frazier,Ferguson,Undirected,7
Carroll,Murray,Undirected,18
Jordan,Powers,Undirected,27
Watson,Wilson,Undirected,14
Washington,Shelton,Undirected,27
Newman,Armstrong,Undirected,21
Lawrence,Gray,Undirected,79
Walters,Davidson,Undirected,63
Becker,Bailey,Undirected,5
Murphy,Silva,Undirected,35
Lee,Nguyen,Undirected,9
Garcia,Silva,Undirected,22
Freeman,Delgado,Undirected,40
Miller,Murray,Undirected,102
Morris,Lee,Undirected,11
Reyes,Clark,Undirected,11
Weaver,Adams,Undirected,17
Arnold,Gonzales,Undirected,9
Chambers,Lee,Undirected,17
Hansen,Torres,Undirected,45
Armstrong,Lee,Undirected,41
Douglas,Schneider,Undirected,15
Murray,Howell,Undirected,70
Jordan,Mcdaniel,Undirected,10
Shelton,Jensen,Undirected,5
Lambert,Burton,Undirected,11
Lynch,Moreno,Undirected,81
Chambers,Barker,Undirected,7
Fowler,Dean,Undirected,50
Brown,Pearson,Undirected,13
Jensen,Shelton,Undirected,8
Perkins,Barnes,Undirected,50
Hart,Gardner,Undirected,24
Rodriguez,Montgomery,Undirected,58
Estrada,Pierce,Undirected,7
Griffin,Jordan,Undirected,16
Martinez,Vasquez,Undirected,14
Kennedy,Garcia,Undirected,37
Nguyen,Estrada,Undirected,10
Howell,Watts,Undirected,167
Brewer,Holt,Undirected,120
Cole,White,Undirected,27
Green,Rhodes,Undirected,61
Kennedy,Rice,Undirected,5
Gilbert,Hoffman,Undirected,5
Warner,Williams,Undirected,26
Lee,Moreno,Undirected,5
George,Warner,Undirected,17
Hill,Carroll,Undirected,17
Ferguson,Benson,Undirected,10
Vaughn,Warner,Undirected,12
Castillo,Robinson,Undirected,27
Neal,Schwartz,Undirected,34
Brown,Carroll,Undirected,73
Benson,Gonzales,Undirected,6
Gordon,Ruiz,Undirected,11
Coleman,Barnett,Undirected,43
Armstrong,Cook,Undirected,13
Munoz,Maldonado,Undirected,31
Little,Bradley,Undirected,61
Fisher,Wade,Undirected,5
Mcdaniel,Guerrero,Undirected,20
Wade,Simmons,Undirected,75
Gibson,Walters,Undirected,6
Carr,Nguyen,Undirected,16
Chavez,Munoz,Undirected,11
Shelton,Shaw,Undirected,11
Chambers,Lowe,Undirected,42
Reynolds,Banks,Undirected,32
Berry,Elliott,Undirected,7
Maldonado,Powers,Undirected,25
Rios,Lee,Undirected,12
Salazar,Lee,Undirected,20
Shelton,Vaughn,Undirected,32
Banks,Stone,Undirected,40
Haynes,Silva,Undirected,34
Barnes,Larson,Undirected,18
Ferguson,Banks,Undirected,12
Ruiz,Jordan,Undirected,12
Frazier,Wheeler,Undirected,21
Barnes,Benson,Undirected,15
Barnett,Hoffman,Undirected,60
Murray,Henry,Undirected,7
Barker,Chapman,Undirected,25
Stanley,Lewis,Undirected,28
Thomas,Spencer,Undirected,34
Jordan,Sutton,Undirected,34
Walters,Bailey,Undirected,46
Little,Ruiz,Undirected,8
Boyd,Nichols,Undirected,54
Hayes,Hernandez,Undirected,43
Russell,Johnson,Undirected,18
Robinson,Brown,Undirected,16
Warren,Stevens,Undirected,8
Brown,Lewis,Undirected,40
Shaw,George,Undirected,12
Holt,Craig,Undirected,16
Ferguson,Henry,Undirected,77
Powers,Maldonado,Undirected,32
Nguyen,Salazar,Undirected,12
Murray,Lucas,Undirected,50
Phillips,Fernandez,Undirected,37
Dean,Stephens,Undirected,25
Richardson,Johnson,Undirected,38
Newman,Thornton,Undirected,6
Stewart,Turner,Undirected,62
Bradley,Bryant,Undirected,35
Howell,Adams,Undirected,23
Clark,Tran,Undirected,7
Elliott,Gomez,Undirected,43
Chambers,Ferguson,Undirected,5
Sanders,Webb,Undirected,11
Watts,Henry,Undirected,16
Watts,Peterson,Undirected,10
Peters,Chapman,Undirected,8
Pearson,Lynch,Undirected,11
Cole,Washington,Undirected,35
Lewis,Wong,Undirected,8
Arnold,Morris,Undirected,97
Young,Nguyen,Undirected,27
Rogers,Douglas,Undirected,30
Cunningham,Harrison,Undirected,51
Horton,Robinson,Undirected,5
Chambers,Schmidt,Undirected,12
Chen,Rodriguez,Undirected,6
Thornton,Dunn,Undirected,27
Arnold,Bradley,Undirected,15
Carroll,Nelson,Undirected,6
Pierce,Padilla,Undirected,57
Dunn,Schwartz,Undirected,33
Shaw,Meyer,Undirected,26
Douglas,Silva,Undirected,33
Pierce,Guerrero,Undirected,5
Thomas,Walters,Undirected,101
Berry,Miller,Undirected,23
Gonzales,Robinson,Undirected,51
Moreno,Hill,Undirected,51
Hoffman,Elliott,Undirected,13
Long,Hunt,Undirected,48
Gomez,Morris,Undirected,47
Barnes,Douglas,Undirected,10
Ford,Park,Undirected,10
Gibson,Pena,Undirected,7
Carter,Gomez,Undirected,27
Reyes,Turner,Undirected,6
Meyer,Warner,Undirected,28
Newman,Lee,Undirected,6
Schneider,Mendoza,Undirected,71
Gomez,Estrada,Undirected,9
Thomas,Gibson,Undirected,24
Cole,Perez,Undirected,53
Morrison,Harris,Undirected,37
Rivera,May,Undirected,22
Phillips,Medina,Undirected,208
Lewis,Moreno,Undirected,11
Reyes,Murphy,Undirected,7
Olson,Cunningham,Undirected,66
Armstrong,Stone,Undirected,150
Griffin,Walters,Undirected,15
Hayes,Harris,Undirected,115
Holland,Lawrence,Undirected,50
Douglas,Schmidt,Undirected,5
Becker,Bradley,Undirected,25
Curtis,Ramos,Undirected,56
Mcdonald,Turner,Undirected,15
Green,Jennings,Undirected,18
Washington,Rose,Undirected,16
Burns,Vaughn,Undirected,71
Wells,Turner,Undirected,19
Lambert,Jenkins,Undirected,49
Maldonado,Reyes,Undirected,22
Coleman,Reyes,Undirected,25
Harris,Greene,Undirected,16
Russell,Hoffman,Undirected,33
Williams,Lopez,Undirected,64
Diaz,Garrett,Undirected,68
Watts,Perry,Undirected,59
Sullivan,Rodriguez,Undirected,6
Snyder,Fernandez,Undirected,46
Carroll,Young,Undirected,8
Mccoy,Robinson,Undirected,54
Benson,Barker,Undirected,48
Vasquez,Mcdaniel,Undirected,20
Spencer,Jordan,Undirected,17
Salazar,Wong,Undirected,30
Harris,Morgan,Undirected,14
Norris,Lee,Undirected,7
Berry,Jenkins,Undirected,7
Thornton,Hoffman,Undirected,9
Larson,Arnold,Undirected,8
Nguyen,Garrett,Undirected,37
Griffin,Vasquez,Undirected,48
Robinson,Lee,Undirected,26
Douglas,Watts,Undirected,7
Guerrero,Ryan,Undirected,54
Ortiz,Rose,Undirected,48
Wong,Murray,Undirected,7
Perry,Mendoza,Undirected,10
Ramirez,Jensen,Undirected,77
Spencer,Chambers,Undirected,18
Armstrong,Frazier,Undirected,29
Carroll,Schmidt,Undirected,12
Jacobs,Carroll,Undirected,19
Franklin,Miller,Undirected,17
Davis,Morales,Undirected,32
Patel,Graham,Undirected,14
Mccoy,Moreno,Undirected,16
Carlson,Jacobs,Undirected,6
Schneider,James,Undirected,9
Tran,Clark,Undirected,7
Henry,Gomez,Undirected,16
Griffin,Bell,Undirected,12
Nguyen,Patterson,Undirected,52
Cook,Schneider,Undirected,29
Hill,Silva,Undirected,23
Robertson,Robinson,Undirected,8
Perkins,Hughes,Undirected,7
Douglas,Lane,Undirected,49
Bryant,Douglas,Undirected,15
Robinson,Wilson,Undirected,13
Hill,Mendoza,Undirected,65
Snyder,Medina,Undirected,31
Nguyen,Woods,Undirected,30
Carter,Watkins,Undirected,26
Aguilar,Padilla,Undirected,8
Douglas,Maldonado,Undirected,20
Santiago,Barker,Undirected,27
Lee,Schmidt,Undirected,67
Vaughn,Richards,Undirected,33
Delgado,Black,Undirected,15
Delgado,Weber,Undirected,5
Gonzales,Gomez,Undirected,6
Lewis,Jacobs,Undirected,16
Cook,Nguyen,Undirected,20
Russell,Stephens,Undirected,37
Murray,Rios,Undirected,5
Mcdaniel,Turner,Undirected,8
Banks,Lowe,Undirected,24
Guerrero,Watts,Undirected,11
Rose,Ortiz,Undirected,15
Hanson,Cook,Undirected,6
Hamilton,Hall,Undirected,5
Lucas,Miles,Undirected,57
Dean,Lambert,Undirected,5
Gibson,Salazar,Undirected,25
Ramos,Hale,Undirected,12
Garrett,Gonzales,Undirected,27
Nguyen,Morris,Undirected,11
Reyes,Fowler,Undirected,6
Garrett,Castillo,Undirected,34
Jordan,Gomez,Undirected,19
Jenkins,Thornton,Undirected,35
Henry,Pearson,Undirected,9
Norris,Stone,Undirected,53
Mcdaniel,Armstrong,Undirected,35
Perry,Lucas,Undirected,36
Robertson,Maldonado,Undirected,178
Bradley,Barnes,Undirected,8
Castillo,Woods,Undirected,16
Pearson,Barnes,Undirected,24
Burton,Tran,Undirected,36
Schwartz,May,Undirected,8
Estrada,Lee,Undirected,18
Henderson,Gordon,Undirected,102
Alexander,Walsh,Undirected,106
Fowler,Steele,Undirected,35
Patel,Gordon,Undirected,24
Mcdaniel,Carter,Undirected,32
Diaz,Warren,Undirected,5
Padilla,Mccoy,Undirected,7
Dunn,Lee,Undirected,15
Bryant,Neal,Undirected,12
Mccoy,Lynch,Undirected,39
Banks,Barker,Undirected,45
Neal,Howell,Undirected,43
Schwartz,Bryant,Undirected,11
Harper,Foster,Undirected,17
Jacobs,Nguyen,Undirected,20
Stanley,Carlson,Undirected,27
Stewart,Elliott,Undirected,22
Maldonado,Silva,Undirected,6
Mcdaniel,Webb,Undirected,8
Gardner,Hunter,Undirected,11
Henry,Mccoy,Undirected,19
Stephens,Reyes,Undirected,68
Robinson,Bradley,Undirected,17
Carter,Jordan,Undirected,7
Neal,Gomez,Undirected,37
Powers,Carter,Undirected,11
Hanson,Garrett,Undirected,26
Brown,Robinson,Undirected,14
Barnes,Mason,Undirected,31
Pierce,Morris,Undirected,17
Ferguson,Salazar,Undirected,51
Ortega,Salazar,Undirected,5
Norris,Barnes,Undirected,5
Garrett,Griffin,Undirected,8
Watts,Bryant,Undirected,130
Spencer,Maldonado,Undirected,40
Morris,Armstrong,Undirected,23
Washington,Ramos,Undirected,10
Carlson,Carroll,Undirected,64
Hoffman,Reyes,Undirected,20
Ortega,Jordan,Undirected,28
Jackson,Burns,Undirected,27
Fowler,Lambert,Undirected,99
Jacobs,Aguilar,Undirected,52
Dean,Clark,Undirected,37
Carroll,Watts,Undirected,34
Watts,Murray,Undirected,8
Armstrong,Bailey,Undirected,50
Chen,Hudson,Undirected,17
Stone,Nguyen,Undirected,9
Bryant,Garrett,Undirected,20
Carr,Hughes,Undirected,23
Cunningham,Weber,Undirected,8
Reynolds,Newman,Undirected,16
Stanley,Neal,Undirected,6
Keller,Washington,Undirected,20
Hart,Craig,Undirected,9
Frazier,Robinson,Undirected,16
Kim,Lee,Undirected,31
Barnes,Armstrong,Undirected,16
Schultz,Holmes,Undirected,30
Thornton,Berry,Undirected,116
Schneider,Lee,Undirected,37
Horton,Griffin,Undirected,7
Ferguson,Carr,Undirected,19
Barnett,Turner,Undirected,9
Bailey,Becker,Undirected,5
Johnson,Hoffman,Undirected,6
Medina,Parks,Undirected,86
Walters,Larson,Undirected,5
Martinez,Moreno,Undirected,16
Pierce,Maldonado,Undirected,5
Gomez,Webb,Undirected,6
Armstrong,Perkins,Undirected,52
Schwartz,Newman,Undirected,33
Armstrong,Estrada,Undirected,10
Aguilar,Salazar,Undirected,19
Reyes,Hoffman,Undirected,15
Stone,Gibson,Undirected,5
Schmidt,Hanson,Undirected,14
Ryan,Guerrero,Undirected,13
Harper,Greene,Undirected,17
Barker,Gibson,Undirected,58
Barnes,Jordan,Undirected,5
Sutton,Bryant,Undirected,13
Stanley,Diaz,Undirected,40
Adams,Henry,Undirected,49
Hunt,Ortega,Undirected,52
Allen,Collins,Undirected,35
Ford,Horton,Undirected,14
Weber,Rios,Undirected,10
White,Shelton,Undirected,36
Stewart,Mcdaniel,Undirected,79
Armstrong,Gomez,Undirected,37
Morales,Davis,Undirected,12
Franklin,Lee,Undirected,32
Kelly,Fernandez,Undirected,163
Greene,Fernandez,Undirected,6
Delgado,Kim,Undirected,98
Pearson,Spencer,Undirected,5
Simpson,Hernandez,Undirected,30
Mcdonald,Ross,Undirected,13
Maldonado,Dean,Undirected,68
Jacobs,Hill,Undirected,54
Alvarez,Fisher,Undirected,5
Patterson,Schneider,Undirected,12
Bryant,Pierce,Undirected,21
Carroll,Brown,Undirected,9
Garcia,Gonzalez,Undirected,10
Woods,Castillo,Undirected,7
Salazar,Aguilar,Undirected,7
Munoz,Weaver,Undirected,10
Lee,Larson,Undirected,15
Hoffman,Fowler,Undirected,39
Gonzales,Arnold,Undirected,46
Harrison,Rios,Undirected,6
Mcdaniel,Nguyen,Undirected,49
Ford,Gomez,Undirected,92
Barnett,Thornton,Undirected,6
Simpson,Harris,Undirected,11
Shaw,Vaughn,Undirected,15
Nguyen,Watson,Undirected,67
Simpson,Warner,Undirected,7
Barnes,Murray,Undirected,20
Allen,Stanley,Undirected,13
Newman,Kim,Undirected,20
Gibson,Robinson,Undirected,30
Jacobs,Contreras,Undirected,28
Thomas,Ferguson,Undirected,19
Dunn,Olson,Undirected,98
Carroll,Watson,Undirected,32
Armstrong,Hughes,Undirected,9
Pearson,Stevens,Undirected,123
Fernandez,Santos,Undirected,13
Lynch,Estrada,Undirected,22
Robinson,Little,Undirected,18
Benson,Nguyen,Undirected,9
Contreras,Hill,Undirected,26
Reid,Vargas,Undirected,26
Becker,Park,Undirected,23
Harrison,Green,Undirected,12
Jenkins,Stewart,Undirected,31
Arnold,Weaver,Undirected,36
Ramirez,Morrison,Undirected,7
Gibson,Davidson,Undirected,8
Pierce,Lucas,Undirected,45
Stone,Garrett,Undirected,8
Bradley,Armstrong,Undirected,8
Barnett,Clark,Undirected,14
Medina,Fisher,Undirected,68
Norris,Garrett,Undirected,89
Sanders,Stone,Undirected,28
Salazar,Lawson,Undirected,80
Lambert,Hoffman,Undirected,9
Garrett,Hall,Undirected,55
Vasquez,Robertson,Undirected,15
Ross,Richardson,Undirected,9
Martin,Walters,Undirected,8
Lopez,Roberts,Undirected,30
Brown,Diaz,Undirected,11
Murphy,Dean,Undirected,55
Santos,Foster,Undirected,66
Weber,Green,Undirected,23
Roberts,Warner,Undirected,74
Snyder,Alvarez,Undirected,19
Parker,Banks,Undirected,29
Armstrong,Carroll,Undirected,18
Diaz,Brown,Undirected,11
Diaz,Carroll,Undirected,8
Garrett,Carroll,Undirected,10
Pearson,Neal,Undirected,20
Burton,Coleman,Undirected,12
Stone,Lee,Undirected,31
Foster,Santos,Undirected,53
Holt,Holland,Undirected,14
Sullivan,Castro,Undirected,28
Howell,Moreno,Undirected,6
Wilson,Wong,Undirected,62
Welch,Henry,Undirected,18
Powers,Lynch,Undirected,16
Hughes,Benson,Undirected,52
Butler,Morrison,Undirected,15
Griffin,Woods,Undirected,52
Stewart,Schultz,Undirected,15
Harris,Medina,Undirected,7
Arnold,Bush,Undirected,70
Dunn,Freeman,Undirected,24
Salazar,Watts,Undirected,19
Flores,Walker,Undirected,33
Stanley,Silva,Undirected,148
Spencer,Schmidt,Undirected,13
Peterson,Wong,Undirected,119
Ruiz,Little,Undirected,15
Schmidt,Maldonado,Undirected,12
Snyder,Santos,Undirected,16
Spencer,Watts,Undirected,26
Lewis,Robertson,Undirected,35
Nguyen,Bell,Undirected,10
Hill,Jacobs,Undirected,32
Ford,Barnes,Undirected,32
Rios,Green,Undirected,20
Benson,Barnes,Undirected,75
Powers,Gonzales,Undirected,11
Lewis,Ryan,Undirected,5
Webb,Graves,Undirected,46
Jordan,Ford,Undirected,15
Marshall,Schmidt,Undirected,19
Herrera,Wallace,Undirected,22
Long,Watts,Undirected,36
Norris,Wheeler,Undirected,17
Guerrero,Nguyen,Undirected,12
Brown,Vasquez,Undirected,20
Caldwell,Wells,Undirected,18
Gonzales,Barker,Undirected,9
Weber,Kim,Undirected,60
Lawrence,Holt,Undirected,21
Wilson,Ryan,Undirected,53
Ruiz,Mcdaniel,Undirected,55
Robinson,Armstrong,Undirected,17
Garrett,Thomas,Undirected,6
Shaw,Cole,Undirected,26
Ramos,Shelton,Undirected,13
Bryant,Frazier,Undirected,13
Kelly,Medina,Undirected,12
Arnold,Wilson,Undirected,17
Ruiz,Frazier,Undirected,6
Steele,Gilbert,Undirected,47
Perkins,Benson,Undirected,20
Diaz,Robinson,Undirected,140
Gomez,Armstrong,Undirected,8
Mccoy,Maldonado,Undirected,46
Lynch,Reynolds,Undirected,15
Silva,Sanders,Undirected,5
Lee,Park,Undirected,7
Schwartz,Dunn,Undirected,15
Carlson,Murray,Undirected,35
Allen,Rice,Undirected,8
Gomez,Aguilar,Undirected,5
Cole,Shelton,Undirected,39
Brewer,Gray,Undirected,9
Neal,Robertson,Undirected,98
Robinson,Lowe,Undirected,14
Thomas,Carr,Undirected,44
Black,Ferguson,Undirected,11
Russell,Clark,Undirected,20
Ray,Nguyen,Undirected,10
Santos,Harper,Undirected,8
Cole,George,Undirected,5
Maldonado,Robertson,Undirected,33
Nguyen,Bryant,Undirected,84
Robinson,Jacobs,Undirected,37
Olson,Rhodes,Undirected,20
Jacobs,Munoz,Undirected,26
Ferguson,Garrett,Undirected,16
Black,Harrison,Undirected,13
